title,price,location,area,bathrooms,bedrooms,log_price,log_area
azaiba - 4-bedroom villa,340.0,"azaiba, muscat",250.0,5.0,4.0,5.831882477283517,5.5254529391317835
office in ghala heights complex,340.0,"ghala, muscat",200.0,2.0,2.0,5.831882477283517,5.303304908059076
"1,2,3 bhk flats for rent in taminat complex",400.0,"bosher, muscat",100.0,3.0,2.0,5.993961427306569,4.61512051684126
modern offices for rent in mic towerمكاتب حديثة للإيجار,600.0,"muscat - other, muscat",120.0,2.0,2.0,6.398594934535208,4.795790545596741
hamptons business center in al qurum offers all you need,250.0,"qurum, muscat",10.0,2.0,2.0,5.5254529391317835,2.3978952727983707
1 bhk flat for rent in lamar bausher,415.0,"bosher, muscat",110.0,3.0,2.0,6.030685260261263,4.709530201312334
fully furnished 2 br apartment,400.0,"al ghubrah, muscat",105.0,2.0,2.0,5.993961427306569,4.663439094112067
adv935**4bhk villa for rent in a complex in qurum,750.0,"qurum, muscat",300.0,5.0,4.0,6.621405651764134,5.707110264748875
(b5496)  2bhk in southe ghubrah free wifi,220.0,"al ghubrah, muscat",100.0,2.0,2.0,5.3981627015177525,4.61512051684126
2bhk flat in mbd (b2023),200.0,"ruwi, muscat",107.0,2.0,2.0,5.303304908059076,4.68213122712422
the cube building - amerat,350.0,"al amarat, muscat",450.0,2.0,2.0,5.860786223465865,6.111467339502679
villa for rent ( stand alone),700.0,"al mawaleh, muscat",500.0,8.0,6.0,6.55250788703459,6.2166061010848646
beautiful 5br complex villa for rent in bausher al muna,650.0,"bosher, muscat",300.0,6.0,5.0,6.478509642208569,5.707110264748875
adv928** 5bhk+maid؛ villa in a complex located al shatti qurum,700.0,"qurum, muscat",450.0,5.0,4.0,6.55250788703459,6.111467339502679
ada011**duplex plus maid for rent in madinat sutan qabus,700.0,"madinat as sultan qaboos, muscat",300.0,3.0,2.0,6.55250788703459,5.707110264748875
apartment for rent in bawshar - شقة للايجار في بوشر,400.0,"bosher, muscat",60.0,2.0,2.0,5.993961427306569,4.110873864173311
al ghubrah north | excellent 2+1 br flat,425.0,"al ghubrah, muscat",105.0,2.0,2.0,6.054439346269371,4.663439094112067
"murooj al zain – salalah’s hidden gem, 3 bedroom apartment",80.0,"salalah, dhofar",100.0,3.0,3.0,4.394449154672439,4.61512051684126
25sqm shops in almisfah for rent first line(b225),80.0,"misfah, muscat",25.0,2.0,2.0,4.394449154672439,3.258096538021482
pearl muscat - muscat hiils,340.0,"muscat hills, muscat",75.0,2.0,1.0,5.831882477283517,4.330733340286331
park view - al qurum,425.0,"qurum, muscat",120.0,2.0,2.0,6.054439346269371,4.795790545596741
amazing furnished 1 bhk apartment for couples,330.0,"al ghubrah, muscat",85.0,1.0,1.0,5.802118375377063,4.454347296253507
qurum | 2 bedroom apartment,220.0,"qurum, muscat",105.0,2.0,2.0,5.3981627015177525,4.663439094112067
for rent – spacious luxury villa in qurum,600.0,"qurum, muscat",300.0,6.0,5.0,6.398594934535208,5.707110264748875
شقه للايجار للعوائل في غلا شارع الجامع الاكبر,300.0,"ghala, muscat",120.0,3.0,2.0,5.707110264748875,4.795790545596741
شقة للايجار فى بوشر قريبة من مطعم الضيعة اللبنانى 2bhk fort rent,220.0,"bosher, muscat",100.0,2.0,2.0,5.3981627015177525,4.61512051684126
villa for rent in bawshar - فيلا للايجار في بوشر,550.0,"bosher, muscat",80.0,6.0,5.0,6.311734809152915,4.394449154672439
villa for rent in mabela - شقة للايجار في المعبيله,550.0,"al maabilah, muscat",70.0,5.0,5.0,6.311734809152915,4.2626798770413155
apartment for rent in mattrah - شقة للايجار في مطرح,250.0,"mutrah, muscat",50.0,2.0,2.0,5.5254529391317835,3.9318256327243257
sea view office space for rent - azaiba !,340.0,"azaiba, muscat",89.0,2.0,2.0,5.831882477283517,4.499809670330265
brand new hybrid office spaces for rent - qurum!,250.0,"qurum, muscat",15.0,2.0,2.0,5.5254529391317835,2.772588722239781
beautiful 2 br apartment available for rent in al mouj,700.0,"the wave (almouj), muscat",120.0,2.0,2.0,6.55250788703459,4.795790545596741
office for rent in al khuwair,600.0,"al khuwair, muscat",190.0,2.0,2.0,6.398594934535208,5.25227342804663
for rent luxury villa! located in madinat al illam,700.0,"madinat as sultan qaboos, muscat",300.0,5.0,5.0,6.55250788703459,5.707110264748875
brand-new 3 br villas available for rent,700.0,"bosher, muscat",299.0,4.0,3.0,6.55250788703459,5.703782474656201
محلات للايجار في بازار صحار على الشارع العام وقريب جسر صحار,300.0,"al khoud, muscat",20.0,2.0,2.0,5.707110264748875,3.044522437723423
fully furnished office space for one person at muscat hills,209.0,"muscat - other, muscat",10.0,2.0,2.0,5.3471075307174685,2.3978952727983707
fully furnished office space for two persons in muscat hills,299.0,"muscat hills, muscat",10.0,2.0,2.0,5.703782474656201,2.3978952727983707
"office membership available in muscat, al mawaleh",109.0,"qurum, muscat",10.0,2.0,2.0,4.700480365792417,2.3978952727983707
"private office space for 1 person in muscat, hormuz grand",225.0,"muscat hills, muscat",10.0,2.0,2.0,5.420534999272286,2.3978952727983707
"ready-to-move in office space for 2  people at muscat, al khuwair",250.0,"al khuwair, muscat",120.0,2.0,2.0,5.5254529391317835,4.795790545596741
"private office space for 3 persons in muscat, roola district",385.0,"ghala, muscat",15.0,2.0,2.0,5.955837369464831,2.772588722239781
"find office space in muscat, roola district for 2 persons",281.0,"ghala, muscat",10.0,2.0,2.0,5.641907070938114,2.3978952727983707
"private office space for 5 persons in sohar, sohar city centre",555.0,"sohar, al batinah",30.0,2.0,2.0,6.320768294250582,3.4339872044851463
"open plan office space for 10 persons in sohar, sohar city centre",809.0,"sohar, al batinah",45.0,2.0,2.0,6.697034247666484,3.828641396489095
"private office space for 4 persons in sohar, sohar city centre",480.0,"sohar, al batinah",20.0,2.0,2.0,6.175867270105761,3.044522437723423
"private office space for 3 persons in sohar, sohar city centre",329.0,"sohar, al batinah",15.0,2.0,2.0,5.799092654460526,2.772588722239781
"private office space for 2 persons in sohar, sohar city centre",196.0,"sohar, al batinah",10.0,2.0,2.0,5.2832037287379885,2.3978952727983707
"fully serviced private office space in muscat, beach one",249.0,"muscat - other, muscat",10.0,2.0,2.0,5.521460917862246,2.3978952727983707
"furnished office space in muscat, pearl square for 4 persons",429.0,"muscat hills, muscat",20.0,2.0,2.0,6.063785208687608,3.044522437723423
"join a professional coworking environment in muscat hill, pearl square",109.0,"muscat hills, muscat",10.0,2.0,2.0,4.700480365792417,2.3978952727983707
"all-inclusive access to coworking in muscat, pearl square",109.0,"muscat hills, muscat",10.0,2.0,2.0,4.700480365792417,2.3978952727983707
fully serviced office space for you and your team at qurum,299.0,"qurum, muscat",60.0,2.0,2.0,5.703782474656201,4.110873864173311
furnished office space for 6 persons in mawaleh,519.0,"al mawaleh, muscat",75.0,2.0,2.0,6.253828811575473,4.330733340286331
"coworking space in muscat, shatti al qurum",130.0,"qurum, muscat",10.0,2.0,2.0,4.875197323201151,2.3978952727983707
"work in muscat, al khuwair  or anywhere else in our global network",89.0,"al khuwair, muscat",10.0,2.0,2.0,4.499809670330265,2.3978952727983707
fully serviced private office spaces for rent - al khuwair !!,225.0,"al khuwair, muscat",10.0,2.0,2.0,5.420534999272286,2.3978952727983707
"private office space for 5 persons in muscat, roola district",716.0,"ghala, muscat",30.0,2.0,2.0,6.57507584059962,3.4339872044851463
"private office space for 4 persons in muscat, roola district",527.0,"ghala, muscat",20.0,2.0,2.0,6.269096283706261,3.044522437723423
private office spaces for rent - al khuwair !!,225.0,"al khuwair, muscat",10.0,2.0,2.0,5.420534999272286,2.3978952727983707
"unlimited office access in bait eteen, al khuwair",250.0,"al khuwair, muscat",10.0,2.0,2.0,5.5254529391317835,2.3978952727983707
"private office space for 1 person in muscat, pearl square",215.0,"muscat hills, muscat",10.0,2.0,2.0,5.375278407684165,2.3978952727983707
premium flexible workspace for 3 at prestigious location of al mawaleh,339.0,"al mawaleh, muscat",11.0,2.0,2.0,5.8289456176102075,2.4849066497880004
brilliant townhouse available for rent in al qurum,770.0,"qurum, muscat",250.0,5.0,3.0,6.647688373563329,5.5254529391317835
sea side villa is located in a compound in al hail north golden squar,755.0,"al hail, muscat",400.0,7.0,5.0,6.628041376179533,5.993961427306569
2 bedrooms apartment with beautiful ocean view,800.0,"the wave (almouj), muscat",125.0,3.0,2.0,6.68586094706836,4.836281906951478
excellent 2 br flat in al khuwair,280.0,"al khuwair, muscat",105.0,2.0,2.0,5.638354669333745,4.663439094112067
sr--am-860 villa for rent in azaiba/ فيلا للايجار في العذيبة,550.0,"azaiba, muscat",250.0,6.0,3.0,6.311734809152915,5.5254529391317835
sr--mo-942 villa for rent in al ansab .,600.0,"ansab, muscat",450.0,8.0,6.0,6.398594934535208,6.111467339502679
for rent: commercial office in bousher,420.0,"bosher, muscat",76.0,2.0,2.0,6.042632833682381,4.343805421853684
beautiful 5 br townhouse available for rent in bawshar heights,550.0,"bosher, muscat",300.0,6.0,5.0,6.311734809152915,5.707110264748875
3+1 bhk apartment in gubrah (subg),600.0,"al ghubrah, muscat",150.0,4.0,3.0,6.398594934535208,5.017279836814924
2 bhk apartment in jasmine complex (disg),390.0,"al khuwair, muscat",120.0,2.0,2.0,5.968707559985366,4.795790545596741
"""sr-jv-495  villa to let in al seeb  """,550.0,"al seeb, muscat",250.0,5.0,3.0,6.311734809152915,5.5254529391317835
"""sr--dm-854   villa for rent – north al hail فيلا فاخرة للإيجار بالحيل",825.0,"al hail, muscat",300.0,5.0,4.0,6.716594773520978,5.707110264748875
sr--so-943 villa for rent in al ansab heights.,450.0,"ansab, muscat",400.0,7.0,6.0,6.111467339502679,5.993961427306569
"""sr-fm-464 pant house for rent in alhail north",600.0,"al hail, muscat",170.0,4.0,3.0,6.398594934535208,5.14166355650266
madinat al ilam | excellent 4+1 br townhouse,340.0,"madinat as sultan qaboos, muscat",300.0,6.0,4.0,5.831882477283517,5.707110264748875
93 sqm office space for rent bausher near al ameen mosque mpc28-b,511.5,"bosher, muscat",93.0,2.0,2.0,6.239300711012564,4.543294782270004
spacious offices for rent in ghala airport heights mpc07,638.49,"ghala, muscat",213.0,2.0,2.0,6.4606709836800595,5.365976015021851
adv925** 3bhk + maid's villa for rent in complex located in qurum heig,550.0,"qurum, muscat",300.0,3.0,3.0,6.311734809152915,5.707110264748875
adv101*5bhk+maid twin villa for rent in seeb sur al hadid,475.0,"al seeb, muscat",375.0,6.0,5.0,6.16541785423142,5.929589143389895
ada010*2bhk+maid apartement for rent in madinat sultan,650.0,"madinat as sultan qaboos, muscat",130.0,3.0,2.0,6.478509642208569,4.875197323201151
93 sqm luxury office in mabila free wifi,200.0,"al maabilah, muscat",95.0,2.0,2.0,5.303304908059076,4.564348191467836
2bhk in alhail free wifi (family only),180.0,"al hail, muscat",100.0,3.0,2.0,5.198497031265826,4.61512051684126
1bhk darsait near ism school free wifi,130.0,"darsait, muscat",90.0,1.0,1.0,4.875197323201151,4.51085950651685
penthouse furnished 2 bhk flat with large balcony,400.0,"al ghubrah, muscat",105.0,2.0,2.0,5.993961427306569,4.663439094112067
